id,title,organization,publication_date,url,source_domain,cve,product,severity,summary,collection_date,crawl_job_id
1869,CVE-2026-64951,NVD,2026-08-12 10:17:20.063000,https://nvd.nist.gov/vuln/detail/CVE-2026-64951,nvd.nist.gov,CVE-2026-64951,Velociraptor,low,"A rogue Velociraptor client can upload a malformed sparse file such that if the GUI attempts to expand the file, a panic occurs which may crash the server process.

The problem is a Divide by Zero bug in the ShouldPadFile() function.",2026-08-19 06:40:23,65
1868,CVE-2026-18663,NVD,2026-08-12 10:17:18.437000,https://nvd.nist.gov/vuln/detail/CVE-2026-18663,nvd.nist.gov,CVE-2026-18663,Red Hat Directory Server 11,medium,"A flaw was found in 389-ds-base. The get_ldapmessage_controls_ext() function frees the parsed controls array on the Session Tracking critical-control rejection path without clearing the SLAPI_REQCONTROLS pblock slot. Operation teardown then frees the same pointer again, causing a double-free. An unauthenticated remote attacker can trigger this with a single BIND request carrying a critical Session Tracking control, resulting in heap corruption and potential denial of service.",2026-08-19 06:40:23,65
1867,CVE-2026-18652,NVD,2026-08-12 10:17:16.940000,https://nvd.nist.gov/vuln/detail/CVE-2026-18652,nvd.nist.gov,CVE-2026-18652,Velociraptor,medium,"Velociraptor allows reading Stacked result sets from the GUI.  Velociraptor's multi-tenant design stores sub orgs within the datastore directory. The path requested by the GUI is not correctly checked against the prefix deny list, allowing result sets to read from denied prefixes.

In particular, a user with read access to the root org can access result sets from child orgs.",2026-08-19 06:40:23,65
1866,CVE-2026-67283,NVD,2026-08-12 09:17:30.720000,https://nvd.nist.gov/vuln/detail/CVE-2026-67283,nvd.nist.gov,CVE-2026-67283,Cotton Cloud extension for Joomla,medium,"Joomla Extension - tabaoca.org - Improper ACL implementation allows file operations in Cotton Cloud < 2.0.2 - Unauthenticated users could perform various file-related operations (read, delete, overwrite, re-assign permissions) on every file managed within the extension.",2026-08-19 06:40:23,65
1865,Apple macOS Improper Authentication Vulnerability,CISA,2026-08-18 00:00:00.000000,https://www.cisa.gov/known-exploited-vulnerabilities-catalog?search_api_fulltext=CVE-2026-65400,cisa.gov,CVE-2026-65400,macOS,,Apple macOS contains an improper authentication vulnerability that could allow an attacker on the network to authenticate to Screen Sharing without valid credentials.,2026-08-19 06:26:13,64
1864,Microsoft SharePoint Weak Authentication Vulnerability,CISA,2026-08-18 00:00:00.000000,https://www.cisa.gov/known-exploited-vulnerabilities-catalog?search_api_fulltext=CVE-2026-55040,cisa.gov,CVE-2026-55040,SharePoint,,Microsoft SharePoint contains a weak authentication vulnerability which allows an unauthorized attacker to bypass a security feature over a network.,2026-08-19 06:26:13,64
1863,Broadcom VMware vCenter Path Traversal Vulnerability,CISA,2026-08-18 00:00:00.000000,https://www.cisa.gov/known-exploited-vulnerabilities-catalog?search_api_fulltext=CVE-2026-59310,cisa.gov,CVE-2026-59310,VMware vCenter,,Broadcom VMware vCenter contains a path traversal vulnerability which could allow a threat actor with network access to vCenter to execute arbitrary code.,2026-08-19 06:26:13,64
1862,Microsoft Internet Key Exchange (IKE) Service Extensions Double Free Vulnerability,CISA,2026-08-18 00:00:00.000000,https://www.cisa.gov/known-exploited-vulnerabilities-catalog?search_api_fulltext=CVE-2026-33824,cisa.gov,CVE-2026-33824,Internet Key Exchange (IKE) Service Extensions,,Microsoft Internet Key Exchange (IKE) Service Extensions contains a double free vulnerability that could enable remote code execution.,2026-08-19 06:26:13,64
1861,CVE-2026-67282,NVD,2026-08-12 09:17:30.590000,https://nvd.nist.gov/vuln/detail/CVE-2026-67282,nvd.nist.gov,CVE-2026-67282,Fabrik extension for Joomla,critical,Joomla Extension - fabrikar.com - Unauthenticated remote code execution in Fabrik < 4.6.8 - An unauthenticated attacker could execute arbitrary code by using the frontend listfilter model.,2026-08-19 06:21:43,63
1860,CVE-2026-19566,NVD,2026-08-12 09:17:29.753000,https://nvd.nist.gov/vuln/detail/CVE-2026-19566,nvd.nist.gov,CVE-2026-19566,Net::CIDR::Set,high,"Net::CIDR::Set versions before 0.23 for Perl allow memory exhaustion and malformed set ranges via unbounded IPv6 prefix lengths.

The _encode method accepts any prefix length matching `(0|[1-9][0-9]*)` and passes it to _width2bits(), which builds the mask as `'1' x ($width + 8)`, one character per bit. The _inc() method then unpacks the packed mask into a Perl array of one scalar per byte, so the prefix length alone sets the allocation size: `::/100000000` builds a 100 MB string and a 12.5 million element array. The value being tested is parsed, not just the configured ranges: contains() builds a set from its argument, and _guess_coder() tries the IPv4 coder and then the IPv6 coder, so an IPv4-only set expands an oversized IPv6 prefix length before the mixed address width check rejects it.

Any caller that passes untrusted input to contains() or add() can exhaust process memory. A prefix length above 128 is also stored as a range that does not match the requested block: 2001:db8::/129 stringifies back unchanged, contains() of its own base address returns false, and removing it from a set drops the base address while the set still prints as covering it.",2026-08-19 06:21:43,63
